industry_ifr19,shares
automotive,0.0645
electronics,0.1488
food,0.1170
furniture,0.0276
manufacturing_other,0.0399
metal_basic,0.0312
metal_machinery,0.0784
metal_products,0.0701
mineral,0.0241
paper,0.0467
petrochemicals,0.2704
textiles,0.0135
vehicles_other,0.0677
