industry,apr_lv04
automotive,69.01
electronics,5.71
food,2.91
furniture,0.01
manufacturing_other,1.4
metal_basic,3.98
metal_machinery,1.32
metal_products,4.6
mineral,0.12
paper,0
petrochemicals,5.12
textiles,0
vehicles_other,0.05
