industry_ifr19	gvkey	fyear	sic2	ifrCode	tfp_raw	p_raw	tfp	adf_p_val	adf_p_val_trend	N_firm_df	trend_stationary	stationary	N_firm	tfp_ip	_spell	_seq	_end	max_spell	max_max_spell	max_id_spell	tfp_cycle	p
"automotive"	3734	1971	37	"automotive"	-.2359175	.7898458		.0013324	5.76e-07	47	1	1	55	-.23591752	1	7	0	54	54	1	-.1664655	-.1664655
"automotive"	3734	1972	37	"automotive"	-.1028977	.9022192		.0013324	5.76e-07	47	1	1	55	-.10289773	1	8	0	54	54	1	.0010263	.0010263
"automotive"	3734	1973	37	"automotive"	-.0047083	.9953028		.0013324	5.76e-07	47	1	1	55	-.00470826	1	9	0	54	54	1	.1125629	.1125629
"automotive"	3734	1974	37	"automotive"	-.026699	.9736543		.0013324	5.76e-07	47	1	1	55	-.026699	1	10	0	54	54	1	.054968	.054968
"automotive"	3734	1975	37	"automotive"	.0421969	1.0431		.0013324	5.76e-07	47	1	1	55	.04219688	1	11	0	54	54	1	.0605203	.0605203
"automotive"	3734	1976	37	"automotive"	.0687265	1.071143		.0013324	5.76e-07	47	1	1	55	.06872652	1	12	0	54	54	1	.0407577	.0407577
"automotive"	3734	1977	37	"automotive"	.1554156	1.168143		.0013324	5.76e-07	47	1	1	55	.15541564	1	13	0	54	54	1	.113571	.113571
"automotive"	3734	1978	37	"automotive"	.1936985	1.21373		.0013324	5.76e-07	47	1	1	55	.19369848	1	14	0	54	54	1	.1556301	.1556301
"automotive"	3734	1979	37	"automotive"	.1634995	1.177625		.0013324	5.76e-07	47	1	1	55	.16349953	1	15	0	54	54	1	.064829	.064829
"automotive"	3734	1980	37	"automotive"	.0415428	1.042418		.0013324	5.76e-07	47	1	1	55	.0415428	1	16	0	54	54	1	-.07714	-.07714
"automotive"	3734	1981	37	"automotive"	.0334607	1.034027		.0013324	5.76e-07	47	1	1	55	.03346071	1	17	0	54	54	1	-.0875802	-.0875802
"automotive"	3734	1982	37	"automotive"	.0211909	1.021417		.0013324	5.76e-07	47	1	1	55	.02119094	1	18	0	54	54	1	-.027283	-.027283
"automotive"	3734	1983	37	"automotive"	.1305427	1.139446		.0013324	5.76e-07	47	1	1	55	.13054265	1	19	0	54	54	1	.1200725	.1200725
"automotive"	3734	1984	37	"automotive"	.1583383	1.171562		.0013324	5.76e-07	47	1	1	55	.15833831	1	20	0	54	54	1	.1697389	.1697389
"automotive"	3734	1985	37	"automotive"	.1673063	1.182116		.0013324	5.76e-07	47	1	1	55	.16730627	1	21	0	54	54	1	.1050143	.1050143
"automotive"	3734	1986	37	"automotive"	.0457108	1.046772		.0013324	5.76e-07	47	1	1	55	.04571077	1	22	0	54	54	1	-.0465537	-.0465537
"automotive"	3734	1987	37	"automotive"	.1604702	1.174063		.0013324	5.76e-07	47	1	1	55	.16047025	1	23	0	54	54	1	.0369545	.0369545
"automotive"	3734	1988	37	"automotive"	.2239231	1.250975		.0013324	5.76e-07	47	1	1	55	.22392313	1	24	0	54	54	1	.1735805	.1735805
"automotive"	3734	1989	37	"automotive"	.0869268	1.090817		.0013324	5.76e-07	47	1	1	55	.0869268	1	25	0	54	54	1	.010244	.010244
"automotive"	3734	1990	37	"automotive"	.0847756	1.088473		.0013324	5.76e-07	47	1	1	55	.08477565	1	26	0	54	54	1	-.0148452	-.0148452
"automotive"	3734	1991	37	"automotive"	.0658929	1.068112		.0013324	5.76e-07	47	1	1	55	.06589293	1	27	0	54	54	1	-.0322708	-.0322708
"automotive"	3734	1992	37	"automotive"	.0600533	1.061893		.0013324	5.76e-07	47	1	1	55	.06005326	1	28	0	54	54	1	.0005668	.0005668
"automotive"	3734	1993	37	"automotive"	.0687207	1.071137		.0013324	5.76e-07	47	1	1	55	.0687207	1	29	0	54	54	1	.0576522	.0576522
"automotive"	3734	1994	37	"automotive"	.1109302	1.117317		.0013324	5.76e-07	47	1	1	55	.11093019	1	30	0	54	54	1	.0739944	.0739944
"automotive"	3734	1995	37	"automotive"	.0976984	1.10263		.0013324	5.76e-07	47	1	1	55	.09769844	1	31	0	54	54	1	.0607817	.0607817
"automotive"	3734	1996	37	"automotive"	.1400926	1.15038		.0013324	5.76e-07	47	1	1	55	.14009263	1	32	0	54	54	1	.0796027	.0796027
"automotive"	3734	1997	37	"automotive"	.1899423	1.20918		.0013324	5.76e-07	47	1	1	55	.18994226	1	33	0	54	54	1	.1254932	.1254932
"automotive"	3734	1998	37	"automotive"	.1387195	1.148802		.0013324	5.76e-07	47	1	1	55	.13871951	1	34	0	54	54	1	.0519155	.0519155
"automotive"	3734	1999	37	"automotive"	.0708418	1.073411		.0013324	5.76e-07	47	1	1	55	.07084184	1	35	0	54	54	1	-.0328781	-.0328781
"automotive"	3734	2000	37	"automotive"	.0132475	1.013336		.0013324	5.76e-07	47	1	1	55	.01324754	1	36	0	54	54	1	-.086599	-.086599
"automotive"	3734	2001	37	"automotive"	.0158858	1.016013		.0013324	5.76e-07	47	1	1	55	.01588583	1	37	0	54	54	1	-.0444728	-.0444728
"automotive"	3734	2002	37	"automotive"	-.1874973	.8290314		.0013324	5.76e-07	47	1	1	55	-.18749727	1	38	0	54	54	1	-.1901459	-.1901459
"automotive"	3734	2003	37	"automotive"	-.3628738	.6956742		.0013324	5.76e-07	47	1	1	55	-.36287382	1	39	0	54	54	1	-.3568904	-.3568904
"automotive"	3734	2004	37	"automotive"	-.0511009	.9501828		.0013324	5.76e-07	47	1	1	55	-.05110088	1	40	0	54	54	1	.0396847	.0396847
"automotive"	3734	2005	37	"automotive"	-.0791288	.9239209		.0013324	5.76e-07	47	1	1	55	-.07912877	1	41	0	54	54	1	.1092302	.1092302
"automotive"	3734	2006	37	"automotive"	-.1462405	.8639499		.0013324	5.76e-07	47	1	1	55	-.14624053	1	42	0	54	54	1	-.030534	-.030534
"automotive"	3734	2007	37	"automotive"	-.030812	.9696578		.0013324	5.76e-07	47	1	1	55	-.03081202	1	43	0	54	54	1	.0306399	.0306399
"automotive"	3734	2008	37	"automotive"	-.0033052	.9967003		.0013324	5.76e-07	47	1	1	55	-.00330516	1	44	0	54	54	1	-.0048187	-.0048187
"automotive"	3734	2009	37	"automotive"	-.1262118	.8814282		.0013324	5.76e-07	47	1	1	55	-.12621176	1	45	0	54	54	1	-.0903456	-.0903456
"automotive"	3734	2010	37	"automotive"	-.1342497	.8743717		.0013324	5.76e-07	47	1	1	55	-.13424973	1	46	0	54	54	1	-.1239279	-.1239279
"automotive"	3734	2011	37	"automotive"	-.0371188	.9635616		.0013324	5.76e-07	47	1	1	55	-.03711884	1	47	0	54	54	1	-.013137	-.013137
"automotive"	3734	2012	37	"automotive"	-.0101713	.9898803		.0013324	5.76e-07	47	1	1	55	-.0101713	1	48	0	54	54	1	.0594774	.0594774
"automotive"	3734	2013	37	"automotive"	-.0374932	.9632009		.0013324	5.76e-07	47	1	1	55	-.03749323	1	49	0	54	54	1	.0189066	.0189066
"automotive"	3734	2014	37	"automotive"	-.0500031	.9512265		.0013324	5.76e-07	47	1	1	55	-.05000305	1	50	0	54	54	1	-.0487454	-.0487454
"automotive"	3734	2015	37	"automotive"	-.1041171	.9011198		.0013324	5.76e-07	47	1	1	55	-.10411712	1	51	0	54	54	1	-.1145983	-.1145983
"automotive"	3734	2016	37	"automotive"	-.1774611	.8373935		.0013324	5.76e-07	47	1	1	55	-.17746115	1	52	0	54	54	1	-.1601208	-.1601208
"automotive"	3734	2017	37	"automotive"	-.1503543	.8604031		.0013324	5.76e-07	47	1	1	55	-.15035434	1	53	0	54	54	1	-.0956099	-.0956099
"automotive"	3734	2018	37	"automotive"	-.0755669	.9272177		.0013324	5.76e-07	47	1	1	55	-.07556686	1	54	1	54	54	1	.0166253	.0166253
"automotive"	4036	1988	37	"automotive"	-.0267332	.973621		.0096376	.1701591	24	0	1	32	-.02673319	1	1	0	31	31	1		
"automotive"	4036	1989	37	"automotive"	-.0507865	.9504816		.0096376	.1701591	24	0	1	32	-.05078646	1	2	0	31	31	1		
"automotive"	4036	1990	37	"automotive"	-.0242333	.976058		.0096376	.1701591	24	0	1	32	-.02423329	1	3	0	31	31	1		
"automotive"	4036	1991	37	"automotive"	.1341667	1.143583		.0096376	.1701591	24	0	1	32	.1341667	1	4	0	31	31	1		
"automotive"	4036	1992	37	"automotive"	.0419816	1.042875		.0096376	.1701591	24	0	1	32	.0419816	1	5	0	31	31	1		
"automotive"	4036	1993	37	"automotive"	-.0236723	.9766057		.0096376	.1701591	24	0	1	32	-.02367231	1	6	0	31	31	1	.012385	.012385
"automotive"	4036	1994	37	"automotive"	-.0395277	.9612434		.0096376	.1701591	24	0	1	32	-.03952765	1	7	0	31	31	1	-.016612	-.016612
"automotive"	4036	1995	37	"automotive"	.0026745	1.002678		.0096376	.1701591	24	0	1	32	.00267449	1	8	0	31	31	1	-.0217676	-.0217676
"automotive"	4036	1996	37	"automotive"	.1120946	1.118619		.0096376	.1701591	24	0	1	32	.11209457	1	9	0	31	31	1	.094575	.094575
